step,loss
1,1.9609375
2,4.0625
3,3.6875
4,1.34375
5,1.515625
6,1.9609375
7,1.625
8,1.546875
9,0.45703125
10,0.2265625
11,0.2431640625
12,0.1572265625
13,0.20703125
14,0.40234375
15,0.232421875
16,0.13671875
17,0.049560546875
18,0.072265625
19,0.004852294921875
20,0.001312255859375
21,0.00048828125
22,0.0002803802490234375
23,0.1826171875
24,0.00066375732421875
25,6.389617919921875e-05
26,5.5789947509765625e-05
27,0.000782012939453125
28,0.35546875
29,0.01068115234375
30,0.0830078125
31,1.1171875
32,0.302734375
33,0.00225830078125
34,0.00135040283203125
35,0.000457763671875
36,0.00136566162109375
37,0.0004673004150390625
38,0.0002899169921875
39,0.00018405914306640625
40,0.000141143798828125
41,0.00011301040649414062
42,9.250640869140625e-05
43,7.724761962890625e-05
44,5.7220458984375e-05
45,4.458427429199219e-05
46,3.600120544433594e-05
47,3.0517578125e-05
48,2.682209014892578e-05
49,2.300739288330078e-05
50,2.1219253540039062e-05
51,1.9311904907226562e-05
52,1.728534698486328e-05
53,1.6450881958007812e-05
54,1.4960765838623047e-05
55,1.4483928680419922e-05
56,1.4007091522216797e-05
57,1.2993812561035156e-05
58,1.2636184692382812e-05
59,1.1920928955078125e-05
60,1.1682510375976562e-05
61,1.1205673217773438e-05
62,1.0848045349121094e-05
63,1.0669231414794922e-05
64,1.0073184967041016e-05
65,9.953975677490234e-06
66,9.715557098388672e-06
67,9.298324584960938e-06
68,9.238719940185547e-06
69,9.357929229736328e-06
70,9.238719940185547e-06
71,8.881092071533203e-06
72,9.119510650634766e-06
73,8.702278137207031e-06
74,8.58306884765625e-06
75,8.58306884765625e-06
76,8.404254913330078e-06
77,8.52346420288086e-06
78,8.58306884765625e-06
79,8.344650268554688e-06
80,8.404254913330078e-06
81,8.165836334228516e-06
82,8.165836334228516e-06
83,8.165836334228516e-06
84,8.165836334228516e-06
85,8.165836334228516e-06
86,7.987022399902344e-06
87,7.867813110351562e-06
88,7.987022399902344e-06
89,7.808208465576172e-06
90,7.927417755126953e-06
91,8.046627044677734e-06
92,7.68899917602539e-06
93,7.927417755126953e-06
94,7.927417755126953e-06
95,7.927417755126953e-06
96,7.68899917602539e-06
97,7.68899917602539e-06
98,7.748603820800781e-06
99,7.748603820800781e-06
100,7.450580596923828e-06
101,7.4803829193115234e-06
102,7.62939453125e-06
103,7.569789886474609e-06
104,7.510185241699219e-06
105,7.450580596923828e-06
106,7.361173629760742e-06
107,7.569789886474609e-06
108,7.4803829193115234e-06
109,7.420778274536133e-06
110,7.4803829193115234e-06
111,7.450580596923828e-06
112,7.62939453125e-06
113,7.271766662597656e-06
114,7.331371307373047e-06
115,7.420778274536133e-06
116,7.4803829193115234e-06
117,7.331371307373047e-06
118,7.331371307373047e-06
119,7.241964340209961e-06
120,7.092952728271484e-06
121,7.152557373046875e-06
122,7.092952728271484e-06
123,7.212162017822266e-06
124,7.12275505065918e-06
125,7.212162017822266e-06
126,7.361173629760742e-06
127,7.331371307373047e-06
128,7.212162017822266e-06
129,7.152557373046875e-06
130,7.12275505065918e-06
131,6.884336471557617e-06
132,7.212162017822266e-06
133,7.152557373046875e-06
134,7.063150405883789e-06
135,7.152557373046875e-06
136,6.973743438720703e-06
137,6.943941116333008e-06
138,7.0035457611083984e-06
139,6.854534149169922e-06
140,6.9141387939453125e-06
141,7.12275505065918e-06
142,6.943941116333008e-06
143,6.9141387939453125e-06
144,6.9141387939453125e-06
145,6.854534149169922e-06
146,6.794929504394531e-06
147,6.645917892456055e-06
148,6.973743438720703e-06
149,6.735324859619141e-06
150,6.735324859619141e-06
151,6.765127182006836e-06
152,6.9141387939453125e-06
153,6.765127182006836e-06
154,6.765127182006836e-06
155,6.67572021484375e-06
156,6.586313247680664e-06
157,6.735324859619141e-06
158,6.496906280517578e-06
159,6.586313247680664e-06
160,6.616115570068359e-06
161,6.5267086029052734e-06
162,6.765127182006836e-06
163,6.586313247680664e-06
164,6.586313247680664e-06
165,6.556510925292969e-06
166,6.5267086029052734e-06
167,6.4373016357421875e-06
168,6.318092346191406e-06
169,6.258487701416016e-06
170,6.3478946685791016e-06
171,6.467103958129883e-06
172,6.377696990966797e-06
173,6.318092346191406e-06
174,6.198883056640625e-06
175,6.079673767089844e-06
176,6.258487701416016e-06
177,6.139278411865234e-06
178,6.288290023803711e-06
179,6.0498714447021484e-06
180,6.377696990966797e-06
181,6.139278411865234e-06
182,5.930662155151367e-06
183,6.079673767089844e-06
184,6.079673767089844e-06
185,6.139278411865234e-06
186,6.198883056640625e-06
187,6.16908073425293e-06
188,6.16908073425293e-06
189,6.3478946685791016e-06
190,6.020069122314453e-06
191,5.9604644775390625e-06
192,6.020069122314453e-06
193,5.9604644775390625e-06
194,6.020069122314453e-06
195,6.139278411865234e-06
196,5.900859832763672e-06
197,5.841255187988281e-06
198,5.900859832763672e-06
199,5.930662155151367e-06
200,5.811452865600586e-06
201,5.900859832763672e-06
202,5.900859832763672e-06
203,5.781650543212891e-06
204,5.841255187988281e-06
205,5.9604644775390625e-06
206,5.632638931274414e-06
207,5.781650543212891e-06
208,5.781650543212891e-06
209,5.692243576049805e-06
210,5.811452865600586e-06
211,5.7220458984375e-06
212,5.8710575103759766e-06
213,5.632638931274414e-06
214,5.5730342864990234e-06
215,5.5730342864990234e-06
216,5.543231964111328e-06
217,5.751848220825195e-06
218,5.7220458984375e-06
219,5.662441253662109e-06
220,5.692243576049805e-06
221,5.662441253662109e-06
222,5.781650543212891e-06
223,5.781650543212891e-06
224,5.5730342864990234e-06
225,5.602836608886719e-06
226,5.7220458984375e-06
227,5.5730342864990234e-06
228,5.453824996948242e-06
229,5.5730342864990234e-06
230,5.543231964111328e-06
231,5.632638931274414e-06
232,5.453824996948242e-06
233,5.3942203521728516e-06
234,5.5730342864990234e-06
235,5.4836273193359375e-06
236,5.4836273193359375e-06
237,5.424022674560547e-06
238,5.334615707397461e-06
239,5.4836273193359375e-06
240,5.453824996948242e-06
241,5.513429641723633e-06
242,5.513429641723633e-06
243,5.513429641723633e-06
244,5.453824996948242e-06
245,5.513429641723633e-06
246,5.543231964111328e-06
247,5.513429641723633e-06
248,5.602836608886719e-06
249,5.424022674560547e-06
250,5.304813385009766e-06
251,5.513429641723633e-06
252,5.424022674560547e-06
253,5.304813385009766e-06
254,5.364418029785156e-06
255,5.334615707397461e-06
256,5.27501106262207e-06
257,5.364418029785156e-06
258,5.334615707397461e-06
259,5.304813385009766e-06
260,5.334615707397461e-06
261,5.304813385009766e-06
262,5.364418029785156e-06
263,5.304813385009766e-06
264,5.27501106262207e-06
265,5.245208740234375e-06
266,5.304813385009766e-06
267,5.21540641784668e-06
268,5.364418029785156e-06
269,5.185604095458984e-06
270,5.21540641784668e-06
271,5.21540641784668e-06
272,5.125999450683594e-06
273,5.27501106262207e-06
274,5.0961971282958984e-06
275,5.185604095458984e-06
276,5.304813385009766e-06
277,5.185604095458984e-06
278,5.245208740234375e-06
279,5.245208740234375e-06
280,5.155801773071289e-06
281,5.21540641784668e-06
282,5.0961971282958984e-06
283,5.185604095458984e-06
284,5.066394805908203e-06
285,5.185604095458984e-06
286,5.185604095458984e-06
287,5.155801773071289e-06
288,5.0961971282958984e-06
289,5.125999450683594e-06
290,5.0961971282958984e-06
291,5.185604095458984e-06
292,4.947185516357422e-06
293,5.185604095458984e-06
294,5.0067901611328125e-06
295,5.066394805908203e-06
296,5.0961971282958984e-06
297,5.0961971282958984e-06
298,5.0067901611328125e-06
299,4.947185516357422e-06
300,5.036592483520508e-06
